experiment,method,image_a,image_b,condition,keypoints_a,keypoints_b,descriptor_dim,candidate_matches,initial_matches,ransac_inliers,ransac_outliers,inlier_ratio,mean_reproj_error,feature_time_sec,match_time_sec,ransac_time_sec,total_time_sec,homography_status,panorama_status,overlap_mae,panorama_success
illumination,SIFT,boat2.jpg,boat3_original.jpg,original,1748,1639,128,1748,582,469,113,0.8058419243986255,1.5561583042144775,0.0516895840119104,0.0046967919915914,0.0004434170114109,0.0986002499994356,ok,ok,7.721866215820388,True
illumination,ORB,boat2.jpg,boat3_original.jpg,original,3977,3993,32,3977,1110,956,154,0.8612612612612612,1.1348373889923096,0.0165130839886842,0.0140098330011824,0.0006168330000946,0.0745229159947484,ok,ok,6.959823141621524,True
illumination,SIFT,boat2.jpg,boat3_darker.jpg,darker,1748,721,128,1748,309,229,80,0.7411003236245954,1.7234958410263062,0.0588145409856224,0.0029610000055981,0.0003761669941013,0.1217088330013211,ok,ok,41.95148689755013,True
illumination,ORB,boat2.jpg,boat3_darker.jpg,darker,3977,2918,32,3977,817,667,150,0.8164014687882497,1.89922297000885,0.0151366240024799,0.0107129169919062,0.0005821660015499,0.0660406660026637,ok,ok,41.98796572508035,True
illumination,SIFT,boat2.jpg,boat3_brighter.jpg,brighter,1748,2169,128,1748,508,421,87,0.8287401574803149,0.8390343189239502,0.0579597910109441,0.0064989999955287,0.000400292003178,0.1105646249925484,ok,ok,64.42919159271626,True
illumination,ORB,boat2.jpg,boat3_brighter.jpg,brighter,3977,4000,32,3977,951,821,130,0.8633017875920084,1.1367906332015991,0.0170464590046321,0.0133740839955862,0.0005506669986061,0.0812770829943474,ok,ok,64.5365038551527,True
illumination,SIFT,boat2.jpg,boat3_low_contrast.jpg,low_contrast,1748,721,128,1748,309,229,80,0.7411003236245954,1.7234987020492554,0.0492396670015296,0.002493209001841,0.0003500410093693,0.1018712920049438,ok,ok,12.944270759727972,True
illumination,ORB,boat2.jpg,boat3_low_contrast.jpg,low_contrast,3977,2918,32,3977,817,667,150,0.8164014687882497,1.89922297000885,0.0146459159877849,0.0125509579956997,0.0005884999991394,0.0682618330029072,ok,ok,12.906311369026184,True
illumination,SIFT,boat2.jpg,boat3_high_contrast.jpg,high_contrast,1748,3214,128,1748,408,340,68,0.8333333333333334,0.4672290682792663,0.0561431240057572,0.0093192499916767,0.0003618330083554,0.1072395420051179,ok,ok,24.311801588311567,True
illumination,ORB,boat2.jpg,boat3_high_contrast.jpg,high_contrast,3977,4000,32,3977,592,536,56,0.9054054054054054,1.216705560684204,0.0185565420106286,0.0137211670080432,0.0005208340007811,0.0792154170048888,ok,ok,26.48796774249613,True
