experiment,method,image_a,image_b,condition,keypoints_a,keypoints_b,descriptor_dim,candidate_matches,initial_matches,ransac_inliers,ransac_outliers,inlier_ratio,mean_reproj_error,feature_time_sec,match_time_sec,ransac_time_sec,total_time_sec,homography_status,panorama_status,overlap_mae,panorama_success
feature_comparison,SIFT,boat1.jpg,boat2.jpg,original,2495,1748,128,2495,777,700,77,0.9009009009009008,0.3320980668067932,0.0642062509868992,0.0074804160103667,0.0005264589999569,0.1228719589998945,ok,ok,16.979085560197706,True
feature_comparison,SIFT,boat2.jpg,boat3.jpg,original,1748,1639,128,1748,582,469,113,0.8058419243986255,1.5561583042144775,0.0538598740095039,0.0046199999924283,0.0004178750095888,0.1060751250042812,ok,ok,7.721866215820388,True
three_image_left_mid,SIFT,boat1.jpg,boat2.jpg,original,2495,1748,128,2495,777,700,77,0.9009009009009008,0.3320980668067932,0.0547835420002229,0.0073360829992452,0.0005018749943701,0.1003716660052305,ok,ok,12.598612650024265,True
three_image_right_mid,SIFT,boat3.jpg,boat2.jpg,original,1639,1748,128,1639,562,444,118,0.7900355871886121,0.3370134532451629,0.0515036679862532,0.0049548749957466,0.0004122499958612,0.0983042919979197,ok,ok,12.598612650024265,True
feature_comparison,ORB,boat1.jpg,boat2.jpg,original,4000,3977,32,4000,805,771,34,0.9577639751552796,1.0632381439208984,0.0339210419915616,0.0135794579982757,0.0006399160047294,0.0895113330043386,ok,ok,16.989876167985663,True
feature_comparison,ORB,boat2.jpg,boat3.jpg,original,3977,3993,32,3977,1110,956,154,0.8612612612612612,1.1348373889923096,0.0163305409951135,0.0134119169961195,0.000592875003349,0.075558666998404,ok,ok,6.959823141621524,True
three_image_left_mid,ORB,boat1.jpg,boat2.jpg,original,4000,3977,32,4000,805,771,34,0.9577639751552796,1.0632381439208984,0.016736083998694,0.0135653329925844,0.0005794590106233,0.0715702500019688,ok,ok,13.70064312725457,True
three_image_right_mid,ORB,boat3.jpg,boat2.jpg,original,3993,3977,32,3993,1227,1074,153,0.8753056234718827,1.8114525079727173,0.0186307090189075,0.0122835419897455,0.0006564579962287,0.077102958006435,ok,ok,13.70064312725457,True
rotation,SIFT,boat2.jpg,boat3_rot15.jpg,rotation_15,1748,1853,128,1748,554,466,88,0.8411552346570397,0.9352518916130066,0.0603395409998483,0.0053104589896975,0.0004342090105637,0.1241969580005388,ok,ok,19.898838689878115,True
rotation,ORB,boat2.jpg,boat3_rot15.jpg,rotation_15,3977,4000,32,3977,1050,837,213,0.7971428571428572,2.1073765754699707,0.0180511240032501,0.0134887500025797,0.000626832988928,0.0919975419965339,ok,ok,19.795272726201627,True
rotation,SIFT,boat2.jpg,boat3_rot30.jpg,rotation_30,1748,1948,128,1748,591,500,91,0.8460236886632826,1.7767927646636963,0.1323859170079231,0.0059037920000264,0.0004159169911872,0.2425428749993443,ok,ok,26.89379781725527,True
